,URL,Bundle,Sale,Regular Price (£),Sale Price (£),Saving (%)
Vertigo Sound VSM-3 Mix Satellite ,https://www.uaudio.com/uad-plugins/mastering/vsm-3-mix-satellite.html,False,True,229,114.0,50
Massenburg® MDWEQ5 Parametric EQ,https://www.uaudio.com/uad-plugins/equalizers/massenburg-mdweq5.html,False,True,229,114.0,50
Friedman Amplifiers Collection,https://www.uaudio.com/uad-plugins/guitar-bass/friedman-amplifiers-plug-in-collection.html,False,True,189,94.0,50
Sound Machine Wood Works,https://www.uaudio.com/uad-plugins/guitar-bass/sound-machine-wood-works.html,False,True,229,114.0,50
Neve 88RS Channel Strip Collection,https://www.uaudio.com/uad-plugins/channel-strips/neve-88rs-collection.html,False,True,229,114.0,50
Marshall® Plexi Super Lead 1959,https://www.uaudio.com/uad-plugins/guitar-bass/marshall-plexi.html,False,True,149,74.0,50
Ampeg SVT-VR Bass Amplifier ,https://www.uaudio.com/uad-plugins/guitar-bass/ampeg-svt-vr.html,False,True,115,57.0,50
Ampeg SVT-3 PRO Bass Amplifier ,https://www.uaudio.com/uad-plugins/guitar-bass/ampeg-svt-3-pro.html,False,True,115,57.0,50
Tube-Tech EQ Collection,https://www.uaudio.com/uad-plugins/equalizers/tube-tech-eq-collection.html,False,True,229,114.0,50
Oxide Tape Recorder,https://www.uaudio.com/uad-plugins/special-processing/oxide-tape-recorder.html,False,True,115,57.0,50
Eventide® H910 Harmonizer ,https://www.uaudio.com/uad-plugins/delay-modulation/eventide-h910.html,False,True,189,94.0,50
